business_id,total_review_count,fake_review_count,real_review_count,avg_stars,adj_avg_stars,fake_review_pct,stars_delta,metro,name,state,zipcode,categories
-2n5fuaYO2TeuMR0Ey6Zmw,21,1,20,4.38,4.5,0.05,-0.1200000000000001,Indianapolis,CroÃ»te Baking Company,IN,46204,"Food, Bakeries"
-2vEnMoexef2-rWy-FMWvw,35,7,28,4.23,4.21,0.2,0.020000000000000462,Indianapolis,Wings and Seafood,IN,46254,"Chicken Wings, Restaurants, Seafood, Burgers, American (Traditional)"
-2zOhGzY7NAd9zb560o8Sw,6,5,1,1.83,2.0,0.83,-0.16999999999999993,Indianapolis,Kingdom Roofing Systems,IN,46278,"Roofing, Siding, Windows Installation, Contractors, Home Services"
-3JFWNwRzoZyncPHyc6p2Q,26,15,11,2.27,2.91,0.58,-0.6400000000000001,Indianapolis,Sixt Rent A Car,IN,46280,"Car Rental, Transportation, Vacation Rentals, Hotels & Travel, Airport Shuttles, Limos"
-3Mc8R5c23FxrxlJn3ivww,201,37,164,4.29,4.27,0.18,0.020000000000000462,Indianapolis,Art's Skillet,IN,46226,"Restaurants, Breakfast & Brunch"
-3Xl8nSBSjaPpftsSNyrgg,7,3,4,4.43,5.0,0.43,-0.5700000000000003,Nashville,Taco Bell,TN,37211,"Restaurants, Tex-Mex, Tacos, Fast Food, Mexican, Breakfast & Brunch"
-3vApQP60bigh7FGBZCQng,7,0,7,4.43,4.43,0.0,0.0,Nashville,Rice's Country Ham Store,TN,37122,"Specialty Food, Grocery, Butcher, Meat Shops, Food"
-44U8OogWPPQk9NA6NZDqw,23,16,7,1.74,2.14,0.7,-0.40000000000000013,Indianapolis,Comfort Stay Inn,IN,46219,"Event Planning & Services, Hotels & Travel, Hotels"
-4E0hSCldRJZLI-1cT38Sw,13,2,11,3.23,2.91,0.15,0.31999999999999984,Nashville,Smoothie King,TN,37089,"Food, Gluten-Free, Health & Medical, Specialty Food, American (Traditional), Active Life, Restaurants, Health Markets, Juice Bars & Smoothies"
-4G38D90ZA4cmU95nRIjLQ,15,8,7,2.87,3.14,0.53,-0.27,Nashville,Sunvertibles,TN,37067,"Automotive, Car Dealers"
-4IoP43clvfZPjRlXu2LLA,15,4,11,2.4,2.73,0.27,-0.33000000000000007,Indianapolis,Whit's Inn,IN,46184,"Bars, Restaurants, American (Traditional), Nightlife"
-4Oq1x-gU3nehb8ETuwRvQ,27,15,12,2.44,3.0,0.56,-0.56,Indianapolis,Easy Airport Parking,IN,46241,"Automotive, Parking"
-4mDMBfT6N0d-VIUTKVaLg,236,17,219,4.51,4.53,0.07,-0.020000000000000462,Indianapolis,Heidelberg Haus,IN,46236,"German, Food, Local Flavor, Grocery, Shopping, Flowers & Gifts, Restaurants, Gift Shops, Bakeries"
-5DcSecinHF2snC4eLv8WA,116,23,93,4.02,4.05,0.2,-0.03000000000000025,Nashville,JJ's Wine Bar,TN,37064,"Wine Bars, Tapas Bars, Party & Event Planning, Event Planning & Services, Nightlife, Bars, Restaurants"
-5UQGwUZWUhPi5pJlcwEYA,225,34,191,3.89,3.98,0.15,-0.08999999999999986,Indianapolis,Ocean World,IN,46260,"Seafood, Restaurants, Sushi Bars, Japanese"
-5ktM-ceWcU7fU9op35rpg,6,2,4,3.0,3.0,0.33,0.0,Indianapolis,Spring Hill Suites by Marriott,IN,46032,"Hotels, Hotels & Travel, Event Planning & Services"
-6nqH2tdNHQdqb8LvILlBw,127,29,98,3.54,3.68,0.23,-0.14000000000000012,Nashville,Sushiyobi,TN,37203,"Sushi Bars, Korean, Japanese, Specialty Food, Restaurants, Ethnic Food, Food"
-6osFx4NgFRHJ5NXqpHV6g,66,14,52,3.18,3.42,0.21,-0.23999999999999977,Nashville,Campo Azul,TN,37135,"Mexican, Restaurants"
-7-VQmEgowG9o8u9qMv_aw,5,0,5,5.0,5.0,0.0,0.0,Nashville,Hendersonville Nutrition,TN,37075,"Food, Juice Bars & Smoothies"
-70gmot_C918Aw_1_l5yeg,23,2,21,3.91,3.81,0.09,0.10000000000000009,Nashville,Edison Vacuum Company,TN,37203,"Appliances, Local Services, Carpet Cleaning, Shopping, Appliances & Repair, Home & Garden"
-7CqBmK0zxwyjEqa3LBVSw,35,6,29,2.71,3.03,0.17,-0.31999999999999984,Nashville,Dairy Queen Grill & Chill,TN,37232,"Food, Desserts, Fast Food, American (Traditional), Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Burgers"
-7oegtOMeB8Cr5gWZUe50A,6,1,5,2.5,2.6,0.17,-0.10000000000000009,Nashville,Slaughter House,TN,37203,Arts & Entertainment
-85kJMtb9wqNWDT8yLbitw,36,3,33,3.67,3.73,0.08,-0.06000000000000005,Nashville,Starbucks,TN,37064,"Food, Coffee & Tea"
-8ADRlWtPByYJac00xbe7w,6,2,4,5.0,5.0,0.33,0.0,Nashville,Berry Farms Animal Hospital & Pet Spa,TN,37064,"Pet Boarding, Veterinarians, Pet Sitting, Pet Services, Pet Groomers, Pets"
-8NGFqFrlOmWawr827tZNg,258,28,230,3.65,3.78,0.11,-0.1299999999999999,Indianapolis,Adobo Grill,IN,46204,"Mexican, Latin American, Restaurants, Breakfast & Brunch"
-8eEiP4nYZAifQH46OGf4A,16,1,15,3.94,4.0,0.06,-0.06000000000000005,Indianapolis,Indy Irish Fest,IN,46206,"Festivals, Arts & Entertainment, Local Flavor"
-8oIIpYJAXWg-G3glapMmQ,342,32,310,4.43,4.43,0.09,0.0,Indianapolis,Festiva,IN,46202,"Nightlife, Latin American, Restaurants, Mexican, Bars"
-8wbH-eTreeURPGDJZu1OQ,11,2,9,3.82,3.56,0.18,0.2599999999999998,Indianapolis,Villas By Watermark,IN,46077,"Real Estate, Home Services, Apartments"
-8wxCs5UMpo5vkutnwHmbA,7,2,5,2.57,2.6,0.29,-0.03000000000000025,Indianapolis,University Place At Iupui,IN,46202,"Hotels, Education, Hotels & Travel, Event Planning & Services"
-951Q5if-JmCQbO40meVPw,10,3,7,3.1,3.43,0.3,-0.33000000000000007,Nashville,Sam's Pizza House,TN,37207,"Pizza, Restaurants"
-99CauTgdResVER5NvRTfw,33,12,21,1.61,1.76,0.36,-0.1499999999999999,Indianapolis,Domino's Pizza,IN,46268,"Pizza, Chicken Wings, Restaurants, Sandwiches"
-99aS7t1izJrDtgSUyvoxg,15,3,12,3.87,3.92,0.2,-0.04999999999999982,Indianapolis,McNamara Florist - Geist,IN,46256,"Flowers & Gifts, Florists, Shopping"
-9NmUeTphyS9Lq1o9MACGw,704,74,630,4.35,4.47,0.11,-0.1200000000000001,Nashville,Grand Ole Opry,TN,37214,"Performing Arts, Cinema, Tours, Local Flavor, Arts & Entertainment, Historical Tours, Hotels & Travel, Nightlife, Music Venues"
-9h2RsUE0-KEvfxyHcsWHQ,101,75,26,1.43,1.38,0.74,0.050000000000000044,Indianapolis,Master Movers,IN,46218,"Home Services, Self Storage, Shopping, Packing Supplies, Movers, Local Services, Packing Services"
-9i8lr1vxnoYrV_cmFkraQ,22,8,14,2.95,3.5,0.36,-0.5499999999999998,Indianapolis,Cookie Cutters Haircuts for Kids,IN,46142,"Hair Salons, Beauty & Spas, Kids Hair Salons, Hair Stylists"
-9x0vAuThXGR6TP8sPFwJA,6,4,2,3.67,5.0,0.67,-1.33,Nashville,Cadence Academy Preschool,TN,37067,"Elementary Schools, Preschools, Education, Local Services, Summer Camps, Child Care & Day Care, Active Life"
-A-5spZpPMjujSnG-Oag7w,24,6,18,2.71,2.83,0.25,-0.1200000000000001,Indianapolis,Taco Bell,IN,46229,"Breakfast & Brunch, Mexican, Tex-Mex, Restaurants, Tacos, Fast Food"
-A-_4uZO5f8dRoChKhqobg,32,8,24,4.22,4.29,0.25,-0.07000000000000028,Nashville,pH Craft Cocktail,TN,37203,"Bars, Cocktail Bars, Nightlife"
-AMeu_LMyFPTsa94IwvS4w,78,27,51,3.36,3.51,0.35,-0.1499999999999999,Indianapolis,Penske Chevrolet - Indianapolis,IN,46240,"Car Rental, Body Shops, Hotels & Travel, Auto Parts & Supplies, Automotive, Auto Repair, Car Dealers"
-AQyGGLrejN1uLaJM-a6mQ,59,11,48,3.46,3.44,0.19,0.020000000000000018,Indianapolis,Dickey's Barbecue Pit,IN,46226,"Restaurants, Barbeque, American (Traditional), Southern, Chicken Wings"
-Ac9pMylK3ZdZQ0jtO6bVQ,15,2,13,3.07,3.08,0.13,-0.010000000000000231,Indianapolis,Interactive Academy,IN,46077,"Middle Schools & High Schools, Gymnastics, Preschools, Active Life, Education, Summer Camps, Elementary Schools"
-AdaSS3N7OsgnBGqh5EMQg,7,1,6,2.71,3.0,0.14,-0.29000000000000004,Indianapolis,Indy Island,IN,46239,"Recreation Centers, Active Life, Amateur Sports Teams, Swimming Pools, Amusement Parks"
-AwHpMr4p141Uw1ogOO9FA,24,14,10,3.33,2.5,0.58,0.8300000000000001,Nashville,Ideal Image Nashville,TN,37205,"Health & Medical, Laser Hair Removal, Beauty & Spas, Medical Spas, Hair Removal, Body Contouring"
-AyTHdUwHI-u5vAuXhUpPw,17,1,16,3.76,3.94,0.06,-0.18000000000000016,Indianapolis,Big Red Liquors,IN,46220,"Beer, Wine & Spirits, Food"
-AzaeuPwxqFO4SMSKjbuCw,7,1,6,3.29,3.17,0.14,0.1200000000000001,Indianapolis,Jordan's Fish & Wings,IN,46250,"Restaurants, Chicken Wings, Fish & Chips"
-B7E8MFb47FoGcp25lXgxw,36,6,30,4.08,4.13,0.17,-0.04999999999999982,Indianapolis,Joe's Grille,IN,46250,"American (Traditional), Restaurants"
-BDSQ7COGF0tcbWJRkTIZw,45,24,21,2.56,3.14,0.53,-0.5800000000000001,Nashville,Volkswagen Of North Nashville,TN,37115,"Auto Detailing, Automotive, Auto Repair, Auto Parts & Supplies"
-BLKZfw-FX7602K59OpBgg,9,2,7,2.33,2.29,0.22,0.040000000000000036,Nashville,Subway,TN,37067,"Salad, Restaurants, Sandwiches, Fast Food"
-B_2jHrwV2nWNqdoWtBC8A,357,20,337,4.41,4.42,0.06,-0.009999999999999787,Indianapolis,RIZE - Indianapolis,IN,46240,"Breakfast & Brunch, Restaurants, Juice Bars & Smoothies, Food, American (New)"
-BlhrfAM9jUF0nTMd_2FTQ,27,5,22,3.74,4.0,0.19,-0.2599999999999998,Indianapolis,Greek's Pizzeria,IN,46231,"Chicken Wings, Italian, Sandwiches, Pizza, Restaurants"
-Bu-aR0R7vtEwoouiLt3jQ,21,3,18,2.57,2.83,0.14,-0.26000000000000023,Indianapolis,Williams-Sonoma,IN,46240,"Food, Shopping, Home & Garden, Specialty Food, Kitchen & Bath"
-BuX4SXTqoidLl-H-FUH9g,60,1,59,3.58,3.61,0.02,-0.029999999999999805,Indianapolis,AMC Castleton Square 14,IN,46250,"Cinema, Arts & Entertainment"
-BwA9H1r-t3vn0yVfCfYGQ,5,1,4,4.2,4.0,0.2,0.20000000000000018,Nashville,Batteries Plus Bulbs,TN,37072,"Electronics, Battery Stores, Mobile Phone Repair, Local Services, Shopping, Electronics Repair, Home Services, Lighting Fixtures & Equipment, IT Services & Computer Repair, Mobile Phones"
-CC4GaKGzXH8PmjhBfx6Pw,8,2,6,2.38,2.83,0.25,-0.4500000000000002,Nashville,Great Clips,TN,37066,"Hair Salons, Beauty & Spas, Barbers"
-CFbp2G4bW67yQd8hOmKNQ,12,4,8,4.0,3.75,0.33,0.25,Indianapolis,Indy Vapor Shop,IN,46254,"Vape Shops, Shopping, Electronics, Tobacco Shops"
-CLHHZzNmv1DYqyNQmlNtA,11,0,11,3.27,3.27,0.0,0.0,Nashville,Portland Brew,TN,37232,"Restaurants, Food, Coffee & Tea"
-CR3TrQNQt16sZ0rqzXa1A,5,2,3,2.0,2.67,0.4,-0.6699999999999999,Indianapolis,DXL,IN,46142,"Fashion, Shoe Stores, Department Stores, Shopping, Men's Clothing, Accessories"
-CT2Fwd917y0eIWMyu9Yag,9,0,9,5.0,5.0,0.0,0.0,Nashville,Follow Me Cheese,TN,37206,"Tasting Classes, Education, Food, Cheese Tasting Classes, Event Planning & Services, Grocery, Specialty Food, Caterers, Cheese Shops"
-C_5RtXY4iIoztzIYVqMSQ,27,9,18,3.48,3.5,0.33,-0.020000000000000018,Nashville,Greek Gyro Restaurant,TN,37219,"Middle Eastern, Restaurants, Greek"
-CmqoK12gnomrCA9EhbTpw,15,8,7,2.53,2.86,0.53,-0.33000000000000007,Indianapolis,Family Tire Pros Auto Service Centers,IN,46235,"Automotive, Transmission Repair, Tires, Auto Repair"
-Cz1zBt_t8CwNKppk3rlTQ,9,3,6,3.44,4.17,0.33,-0.73,Nashville,Case Selects Wine & Spirits,TN,37064,"Food, Beer, Wine & Spirits"
-CzWDbhWlGRYGQpzXNsXCQ,6,3,3,3.67,3.67,0.5,0.0,Indianapolis,Geist Auto Service,IN,46055,"Tires, Automotive, Auto Repair, Oil Change Stations, Towing, Auto Detailing"
-D8eD37Ahq3SbLBTuGG6Xw,43,9,34,2.86,3.18,0.21,-0.3200000000000003,Indianapolis,Meijer,IN,46229,"Bakeries, Health & Medical, Shopping, Food, Electronics, Pharmacy, Toy Stores, Grocery"
-DXNvQLhKwunHzg8OjkwXA,57,12,45,4.6,4.67,0.21,-0.07000000000000028,Indianapolis,Northeast Auto Service,IN,46220,"Automotive, Auto Repair"
-DcaNCi-C2ndtl6UzrWe1g,5,2,3,3.2,3.67,0.4,-0.46999999999999975,Nashville,LC Mount Juliet,TN,37122,"Home Services, Apartments, Real Estate"
-DsC3cvCBEy_FNJ7U-i9zg,63,14,49,2.4,2.55,0.22,-0.1499999999999999,Indianapolis,Ruby Tuesday,IN,46268,"Restaurants, American (Traditional), Burgers"
-E0TZWKHz2y1Z_ZsYqWpag,34,13,21,1.41,1.48,0.38,-0.07000000000000006,Nashville,Sonic Drive-In,TN,37076,"Food, Fast Food, Restaurants, Ice Cream & Frozen Yogurt, Burgers"
-EAUflIYeDktN8f7wHpHOg,38,16,22,3.29,3.68,0.42,-0.3900000000000001,Indianapolis,The Tailgate,IN,46237,"American (New), Restaurants, Nightlife, American (Traditional), Sports Bars, Karaoke, Bars"
-EZ84vTWjXnQCeE1-qVuSA,15,4,11,2.73,3.0,0.27,-0.27,Nashville,Bojangles,TN,37167,"Restaurants, American (Traditional)"
-E_abFaS0XdRE4tQopbjFg,57,23,34,3.63,3.44,0.4,0.18999999999999995,Indianapolis,Barkefellers,IN,46231,"Pet Services, Pets, Pet Groomers, Pet Training, Pet Sitting"
-F-u1j8QhY-080G84-HYXQ,12,4,8,5.0,5.0,0.33,0.0,Nashville,Nashville Pet Spa,TN,37122,"Pet Services, Pet Boarding, Pet Groomers, Pet Sitting, Pets"
-FHnftV0XucOTUcPpLftog,47,9,38,4.66,4.76,0.19,-0.09999999999999964,Indianapolis,Experience A Hair Spa,IN,46227,"Massage, Hair Stylists, Hair Salons, Beauty & Spas, Reflexology, Health & Medical"
-FPHImCrh555pkxNetpreA,73,6,67,4.25,4.28,0.08,-0.03000000000000025,Indianapolis,BRU Burger Bar - Keystone,IN,46240,"Restaurants, Burgers, American (New), American (Traditional)"
-FW5ejFjgXH08xQapUiG5Q,5,2,3,3.0,3.0,0.4,0.0,Nashville,One Stop Shoe Repair,TN,37115,"Local Services, Sewing & Alterations, Shoe Repair"
-Fj5RVRiaUiMzaPGrfXNuQ,11,4,7,3.91,3.86,0.36,0.050000000000000266,Nashville,PROSE - Franklin,TN,37607,"Nail Salons, Beauty & Spas"
-Fm05tmJz_10qOkL6JAsmw,28,10,18,3.71,3.94,0.36,-0.22999999999999998,Nashville,Monroe Carell Jr Children's Hospital at Vanderbilt,TN,37232,"Health & Medical, Hospitals"
-G-AmoSpz6wFU85dmglirQ,15,2,13,5.0,5.0,0.13,0.0,Nashville,Carothers Pkwy Veterinary Clinic,TN,37607,"Veterinarians, Pets"
-G5liTW1KYlP3fQ6ihWXag,9,3,6,5.0,5.0,0.33,0.0,Nashville,Delgado Guitars,TN,37206,"Shopping, Local Services, Guitar Stores, Musical Instruments & Teachers, Musical Instrument Services"
-GB_KiOOFoGdW09uuarqjQ,32,4,28,2.69,2.82,0.12,-0.1299999999999999,Indianapolis,Carmel Ice Skadium,IN,46032,"Sporting Goods, Recreation Centers, Skating Rinks, Shopping, Active Life"
-GqJOzN8AxFnkqSuvzmPtQ,5,2,3,5.0,5.0,0.4,0.0,Nashville,Whataburger,TN,37076,"Restaurants, Fast Food, Burgers"
-GrZLv8ndQI_veTbVEx2dg,11,2,9,4.18,4.0,0.18,0.17999999999999972,Nashville,Game Galaxy,TN,37072,"Arts & Entertainment, Arcades"
-GvA6iekqOACGodgLYiMKA,131,19,112,4.02,3.96,0.15,0.05999999999999961,Nashville,Taco Mama - Hillsboro Village,TN,37235,"Restaurants, Mexican"
-H6a4mIT5GbQiiWZz2luOw,12,1,11,4.5,4.45,0.08,0.04999999999999982,Indianapolis,Droopy's BBQ,IN,46237,"Southern, Food Trucks, Food, Barbeque, Restaurants"
-HMqisHgmwr4k8zwT3tp5Q,88,15,73,4.14,4.18,0.17,-0.040000000000000036,Indianapolis,Amber Indian Restaurant,IN,46250,"Restaurants, Desserts, Indian, Food, Pakistani"
-HQhp8VBzgSp-epyqrr0Sw,6,2,4,4.33,4.0,0.33,0.33000000000000007,Nashville,Brentwood Dentist - Wesley Dentistry,TN,37027,"Health & Medical, General Dentistry, Dentists, Pediatric Dentists, Cosmetic Dentists"
-HTra3AbYlsjx1VIlsIJbw,212,47,165,4.52,4.5,0.22,0.019999999999999574,Nashville,Green Chili,TN,37072,"Indian, Restaurants"
-HjH9XFJ8lS5Mq-uTsR4OQ,294,20,274,4.37,4.4,0.07,-0.03000000000000025,Indianapolis,The Garden Table,IN,46220,"Food, Breakfast & Brunch, Salad, Live/Raw Food, Juice Bars & Smoothies, Restaurants, Sandwiches"
-HruUqz4jdxa2Saw_WGoXg,6,1,5,3.33,3.0,0.17,0.33000000000000007,Nashville,Madison Bowl,TN,37115,"Bowling, Active Life"
-IgAl279kOikXDC_Me2LSg,5,0,5,4.0,4.0,0.0,0.0,Nashville,Mount Juliet Granite And Tile,TN,37122,"Countertop Installation, Shopping, Home Services, Contractors, Home & Garden, Kitchen & Bath"
-In67MOu9P9aPx3tzGKb2A,8,1,7,4.88,4.86,0.12,0.019999999999999574,Indianapolis,River Ridge at Keystone Apartments,IN,46240,"Apartments, Home Services, Real Estate"
-Iwzp-1JyrQFUOLEmaDavA,76,13,63,3.17,3.11,0.17,0.06000000000000005,Nashville,Olive Garden Italian Restaurant,TN,37076,"Wine Bars, Soup, Bars, Italian, Salad, Nightlife, Restaurants"
-J3JwamIZpS1giOMQENTPQ,6,2,4,4.17,3.75,0.33,0.41999999999999993,Indianapolis,Geist Self Storage,IN,46236,"Local Services, Self Storage"
-J5blpzmnpQZpmb85pWAZw,6,1,5,2.83,3.0,0.17,-0.16999999999999993,Nashville,Dairy Queen Grill & Chill,TN,37080,"Burgers, Restaurants, Food, Ice Cream & Frozen Yogurt, Fast Food"
-JAwNIEJoDXmdE_8sS_BJQ,120,28,92,3.04,3.15,0.23,-0.10999999999999988,Indianapolis,Scotty's Brewhouse,IN,46237,"Pubs, American (Traditional), Sports Bars, Burgers, Bars, Restaurants, Nightlife, Beer Bar"
-JOIA5zAAB03-dlBOoALGQ,7,2,5,5.0,5.0,0.29,0.0,Nashville,Peace Love and Paws,TN,37207,"Pets, Pet Services, Pet Sitting, Pet Boarding"
-JQ5oIOsKcz6SmnHhxmcDg,6,1,5,1.0,1.0,0.17,0.0,Nashville,Hometown Respiratory,TN,37167,"Health & Medical, Shopping, Medical Supplies"
-JWoLstXfCRhgIUpiIYcag,13,6,7,4.46,5.0,0.46,-0.54,Nashville,The Locklear Lending Team - Movement Mortgage,TN,37027,"Home Services, Financial Services, Mortgage Brokers, Mortgage Lenders, Real Estate"
-JgPJ7mh3HAMwSEi6sHrRg,40,14,26,4.22,4.27,0.35,-0.04999999999999982,Nashville,GetFit Anytime,TN,37204,"Beauty & Spas, Tanning, Gyms, Fitness & Instruction, Trainers, Tanning Beds, Active Life"
-KNgMklrxgRX2-T6xXeTZA,151,35,116,3.43,3.55,0.23,-0.11999999999999966,Nashville,Sal's Pizza,TN,37214,"Italian, Salad, Restaurants, Pizza, Delis"
-KhVG1S_44oaj3AjSW_UmA,8,1,7,2.62,2.57,0.12,0.050000000000000266,Indianapolis,Kroger,IN,46077,"Food, Grocery"
-KrA9kWA0HNhh0OSaGA8xw,9,1,8,4.67,4.62,0.11,0.04999999999999982,Indianapolis,Heidenreich Greenhouses,IN,46227,"Shopping, Nurseries & Gardening, Home & Garden"
-LGPQp1OsFEQtcjc-dQLfw,6,3,3,1.67,2.0,0.5,-0.33000000000000007,Indianapolis,Alterra Pest Control,IN,46268,"Local Services, Home Services, Pest Control"
-LNcgHYLXcO7greCh81kpg,24,9,15,3.29,3.2,0.38,0.08999999999999986,Nashville,Wall Street Pizzeria,TN,37064,"Pizza, Restaurants"
-Lfib0jjHweCly1-FLM_og,40,8,32,3.05,3.12,0.2,-0.07000000000000028,Nashville,Sidelines Grill,TN,37015,"American (New), Restaurants"
-Lnbw5b66ThauhOQte2Cmg,14,0,14,2.79,2.79,0.0,0.0,Indianapolis,Walgreens,IN,46268,"Food, Cosmetics & Beauty Supply, Convenience Stores, Shopping, Photography Stores & Services, Drugstores, Beauty & Spas"
-LoVysdztSNMiUeHCw8Ldg,5,0,5,4.2,4.2,0.0,0.0,Indianapolis,Sarita's Pollos Charbroiled Cuisine,IN,46268,"Restaurants, Mexican"
-Lz1eG1xyHk634wVzBD83g,21,4,17,3.29,3.06,0.19,0.22999999999999998,Indianapolis,Sweetheart Cupcakes,IN,46168,"Ice Cream & Frozen Yogurt, Coffee & Tea, Bakeries, Food, Cupcakes"
-M7S_j79LiunqsLs1siEmQ,31,9,22,4.68,4.59,0.29,0.08999999999999986,Nashville,Epic Yoga,TN,37027,"Active Life, Fitness & Instruction, Yoga"
-Mhf-oRV5HcckZ2wjR9ZaA,13,2,11,3.54,3.27,0.15,0.27,Indianapolis,Jack's Pizza,IN,46143,"Chicken Wings, Restaurants, Pizza, Food, Sandwiches, Food Delivery Services"
-MkbxKBjGEqFIkckdkyMtg,5,2,3,4.2,3.67,0.4,0.5300000000000002,Indianapolis,Reckley Eye Care,IN,46217,"Optometrists, Health & Medical"
-MnKKFnVjphA-yUzIMv0ew,19,3,16,4.58,4.75,0.16,-0.16999999999999993,Nashville,Mazfresco Market,TN,37211,"Food, International Grocery"
-NAHnlhfIW_e1EOS59maxA,8,1,7,4.5,4.86,0.12,-0.3600000000000003,Nashville,R.B.'s Cyclery,TN,37069,"Bikes, Fashion, Bicycles, Shopping, Active Life, Sports Wear, Bike Shop, Sporting Goods, Bike Rentals, Bike Repair"
-NH2sUTm3EJsbBEHdA4BSg,7,1,6,3.86,3.67,0.14,0.18999999999999995,Nashville,Arby's,TN,37089,"Restaurants, Fast Food"
-NXc5tXIHN3tAv86ISKQeA,10,7,3,1.5,2.67,0.7,-1.17,Indianapolis,All Pro Carpet Cleaning,IN,46032,"Local Services, Home Services, Home Cleaning, Carpet Cleaning"
-Nf2K8OmZ3OaApWamQHrbw,72,8,64,4.07,4.06,0.11,0.010000000000000675,Nashville,Chicago Style Gyros,TN,37216,"Mediterranean, Restaurants, Greek"
-NytUJ0yYOT-LniQtqXtHQ,47,12,35,4.15,4.23,0.26,-0.08000000000000007,Indianapolis,Indy Cellular Repair,IN,46220,"Local Services, IT Services & Computer Repair, Mobile Phones, Shopping, Mobile Phone Repair, Mobile Phone Accessories"
